Country Name,Series Name,1991.00,1992.00,1993.00,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,Forest area (% of land area),1.85,1.85,1.85,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.85,1.85
Albania,Forest area (% of land area),28.72,28.65,28.57,28.50364964,28.43248175,28.36131387,28.29014599,28.2189781,28.14781022,28.07664234,28.12324818,28.16985401,28.21645985,28.26306569,28.30967153,28.35627737,28.40288321,28.44948905,28.49609489,28.54270073,28.59465328,28.64660584,28.69855839,28.75051095,28.8024635,28.80218978,28.79206204,28.7919708,28.7919708,28.7919708,28.79,28.79
Algeria,Forest area (% of land area),0.70,0.69,0.69,0.685129359,0.681434581,0.677739804,0.674045026,0.670350248,0.66665547,0.662960693,0.677193984,0.691427276,0.705660567,0.719893859,0.734127151,0.748360442,0.762593734,0.776827026,0.791060317,0.805293609,0.808484553,0.811675498,0.814866442,0.818057387,0.821247986,0.821247986,0.815789794,0.810331602,0.81411035,0.81830896,0.82,0.83
Andorra,Forest area (% of land area),34.04,34.04,34.04,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04,34.04
Angola,Forest area (% of land area),63.45,63.33,63.20,63.07941927,62.95475656,62.83009385,62.70543114,62.58076843,62.45610572,62.33144301,61.88621882,61.44099463,60.99577043,60.55054624,60.10532205,59.66009786,59.21487367,58.76964947,58.32442528,57.87920109,57.4339761,56.9887511,56.54352611,56.09830111,55.65307612,55.20784471,54.76262934,54.31740595,53.87217454,53.42695115,52.98,52.54
Antigua and Barbuda,Forest area (% of land area),22.83,22.68,22.53,22.37727273,22.22727273,22.07727273,21.92727273,21.77727273,21.62727273,21.47727273,21.325,21.17272727,21.02045455,20.86818182,20.71590909,20.56363636,20.41136364,20.25909091,20.10681818,19.95454545,19.80454545,19.65454545,19.50454545,19.35454545,19.20454545,19.04545455,18.90909091,18.75,18.59090909,18.45454545,18.30,18.16
Argentina,Forest area (% of land area),12.80,12.73,12.66,12.59682317,12.53010023,12.46337729,12.39665435,12.32993141,12.26320847,12.19648554,12.08087142,11.9652573,11.84964318,11.73402906,11.61841495,11.50280083,11.38718671,11.27157259,11.15595848,11.04034436,10.9587129,10.87708144,10.79544998,10.71381852,10.63218706,10.60039683,10.55983688,10.52037315,10.48017861,10.44071488,10.40,10.36
Armenia,Forest area (% of land area),..,11.74,11.74,11.72792413,11.72058307,11.71324201,11.70590095,11.69855989,11.69121883,11.68387777,11.67657183,11.66926589,11.66195996,11.65465402,11.64734809,11.64004215,11.63273621,11.62543028,11.61812434,11.61081841,11.60351247,11.59620653,11.5889006,11.58159466,11.57428872,11.56691254,11.55953635,11.55216017,11.54478398,11.5374078,11.53,11.52
Australia,Forest area (% of land area),17.40,17.37,17.35,17.3196777,17.29275738,17.26583705,17.23891673,17.21199641,17.18507608,17.15815576,17.12863335,17.09911094,17.06958853,17.04006613,17.01054372,16.98102131,16.9514989,16.92197649,16.89245408,16.86293167,16.95531026,17.04768884,17.14006743,17.23244601,17.3248246,17.42548771,17.42291362,17.42131456,17.42131456,17.42131456,17.42,17.42
Austria,Forest area (% of land area),45.83,45.91,45.98,46.05741638,46.13311924,46.2088221,46.28452496,46.36022782,46.43593068,46.51163354,46.54200194,46.57237033,46.60273873,46.63310713,46.66347552,46.69384392,46.72421231,46.75458071,46.7849491,46.8153175,46.85891905,46.9025206,46.94612215,46.9897237,47.03332525,47.07695104,47.12045565,47.16396025,47.10373243,47.13790596,47.17,47.21
